category,price,rating,stock,Discount,status
,5548,1.870322016,,0,Active
,3045,4.757798058,,38,Active
,4004,,In Stock,0,Inactive
,4808,1.492084885,,33,Active
,1817,,Out of Stock,23,Active
,3522,,,,Active
C,667,3.668340748,In Stock,41,Inactive
A,7125,4.983998118,Out of Stock,7,Inactive
A,2777,2.678384421,In Stock,6,Inactive
,463,4.626187281,,3,Inactive
A,1151,2.947838085,,,Inactive
A,3772,4.890749963,In Stock,45,Inactive
,7719,2.982241782,In Stock,4,Active
C,8416,1.270942732,,29,Inactive
B,8530,,,10,Active
A,7936,3.032832041,In Stock,44,Active
B,9319,3.479063512,In Stock,28,Inactive
,,4.097463657,,40,Active
D,2066,,,30,Inactive
B,1784,,,12,Inactive
,5589,,,39,Active
C,,,Out of Stock,25,Active
,4176,2.264050692,In Stock,42,Inactive
D,407,2.774269878,In Stock,44,Active
,7011,,In Stock,38,Active
,8418,,,,Inactive
,3405,,In Stock,48,Active
D,1732,,,,Active
B,5850,2.264393101,Out of Stock,43,Active
,,2.357527106,,22,Inactive
,704,,In Stock,47,Inactive
,2343,1.863224511,Out of Stock,17,Inactive
,,,,,Active
,1910,3.849494883,Out of Stock,14,Inactive
,9307,,Out of Stock,21,Active
,2331,3.952257435,,43,Active
D,6164,4.305789482,Out of Stock,1,Active
B,8060,1.905802489,Out of Stock,43,Inactive
,5607,4.789502194,,15,Inactive
,4730,,In Stock,30,Inactive
,9230,,,8,Active
,1112,,In Stock,38,Inactive
,4390,,In Stock,34,Inactive
,8484,,Out of Stock,36,Active
D,6415,4.984170226,Out of Stock,12,Inactive
,4589,,Out of Stock,47,Inactive
A,2260,,In Stock,37,Inactive
,1759,4.455343994,,37,Active
,7190,1.924305492,In Stock,,Inactive
,8675,2.778260648,Out of Stock,,Active
,5412,,Out of Stock,24,Inactive
A,6304,,,31,Inactive
C,9870,2.803686494,Out of Stock,37,Inactive
C,1134,2.886833031,In Stock,15,Active
B,9795,,In Stock,17,Active
B,3445,,In Stock,3,Inactive
,8421,1.33825381,In Stock,2,Inactive
,3236,4.951183214,Out of Stock,2,Active
,1624,,Out of Stock,34,Active
,806,4.170806834,,8,Active
,9888,,,29,Inactive
,8773,1.865998305,Out of Stock,17,Inactive
D,3977,,Out of Stock,32,Inactive
D,2251,,,25,Inactive
,7842,,,30,Inactive
A,5006,3.835636274,Out of Stock,,Active
,3182,,,13,Inactive
,1136,,,19,Inactive
,1066,,Out of Stock,10,Inactive
B,1029,4.464129273,,38,Active
,1788,,Out of Stock,7,Inactive
,6249,,In Stock,16,Active
D,8026,,,46,Active
A,9516,1.657350437,,5,Active
,859,1.227945643,,49,Inactive
,6792,2.493790635,,26,Inactive
,8631,3.30848051,In Stock,10,Active
,6491,4.645463937,,16,Active
,,4.036652101,In Stock,33,Active
D,642,1.598345401,Out of Stock,28,Active
B,4222,4.213202928,In Stock,20,Active
A,1962,4.976201302,In Stock,6,Active
,2119,3.661720156,,40,Inactive
,1441,3.414634864,In Stock,43,Active
,6884,,In Stock,49,Active
D,2544,,,,Active
B,6114,,In Stock,44,Inactive
,8117,,In Stock,45,Active
,,2.581053762,Out of Stock,36,Active
A,4077,,Out of Stock,28,Active
D,2877,3.13016217,Out of Stock,49,Active
B,8723,3.750973129,,41,Inactive
,8651,4.282273714,,2,Inactive
,3282,,Out of Stock,40,Active
D,9493,2.780461423,Out of Stock,34,Inactive
,6578,3.125260769,,28,Active
,7187,,In Stock,12,Active
,1435,,,23,Active
,1561,2.856089457,In Stock,6,Inactive
,2778,4.647670826,,43,Active
A,4752,4.589987921,In Stock,1,Inactive
,4502,,In Stock,40,Inactive
,,,In Stock,1,Active
,578,3.68816202,Out of Stock,36,Active
,3137,2.530595786,Out of Stock,49,Inactive
C,7417,3.516107652,In Stock,43,Inactive
C,8024,,,2,Active
,5250,,,6,Inactive
,6554,,,29,Inactive
,7267,,,24,Inactive
,6122,2.567716124,In Stock,15,Active
,1362,3.91365403,Out of Stock,,Active
,6562,3.619314485,Out of Stock,3,Inactive
C,6879,,In Stock,8,Inactive
D,6117,4.858685977,,4,Inactive
C,3182,4.874851836,In Stock,49,Active
,5427,,Out of Stock,15,Inactive
,251,,,21,Active
,6250,,,33,Inactive
D,4580,1.532090175,,39,Active
,9161,2.602243655,In Stock,49,Inactive
,5821,1.168690444,Out of Stock,17,Active
,9990,,Out of Stock,19,Active
,4347,2.568984286,,3,Active
D,2697,1.917479682,,30,Inactive
,9160,4.392384246,Out of Stock,29,Inactive
,2072,,,10,Active
C,2122,4.860951674,Out of Stock,29,Inactive
,8731,,Out of Stock,38,Active
D,5031,,In Stock,4,Inactive
A,6557,,Out of Stock,32,Inactive
,3981,,,41,Inactive
,9459,3.490351838,Out of Stock,42,Inactive
,3763,,,13,Active
A,2466,,,12,Active
A,6348,,,29,Active
,6345,,Out of Stock,4,Active
,4781,3.236473832,Out of Stock,3,Inactive
B,8345,,Out of Stock,41,Active
A,5459,,Out of Stock,33,Inactive
A,8521,1.081564565,Out of Stock,40,Active
,2649,1.985444913,In Stock,25,Active
,3101,1.922891695,,6,Inactive
D,357,,Out of Stock,32,Active
B,4299,2.938430508,,29,Inactive
,9799,,Out of Stock,34,Inactive
A,8832,,,17,Inactive
A,8251,4.052873659,In Stock,28,Active
A,1465,1.835877108,,,Active
A,9825,,Out of Stock,22,Active
